Determination	mapping
NA	NA
"""Non-jeopardy"""	LAA
"""No Effect - No Concurrence Required"""	NE
"""NLAA - Concurrence Provided"""	NLAA
"""Non-jeopardy / No Adverse Mod"""	LAA
"""Not Yet Determined"""	NA
"""Technical Assistance"""	TA
"""Not Required - See Event Description"""	TA
"""NLAA - N-CP, Formal Consultation Recommended"""	NLAA
"""Jeopardy with RPA"""	JEOP
"""No Effect - Concurrence Provided"""	NE
"""NLAA - N-CP, Additional Information Requested"""	NLAA
"""Technical Assistance - Species List"""	TA
"""NLAA - N-CP, No Further Recommendations Provided"""	NLAA
"""No Effect - N-CP, No Further Recommendations Provided"""	NE
"""No Effect - N-CP, Consultation Recommended"""	NE
"""Adverse Modification"""	AM
"""OBSOLETE --- No Effect - No Concurrence ---"""	NE
"""OBSOLETE --- No Effect ---"""	NE
"""No Adverse Modification"""	NA
