activity_code	region	state	ESOffice	title	lead_agency	FY	FY_start	FY_concl	start_date	date_formal_consult	due_date	FWS_concl_date	elapsed	date_active_concl	timely_concl	hours_logged	events_logged	formal_consult	consult_type	consult_complex	work_type	work_category	ARRA	datum	lat_dec_deg	long_dec_deg	lat_deg	lat_min	lat_sec	long_deg	long_min	long_sec	UTM_E	UTM_N	UTM_zone	spp_ev_ls	spp_BO_ls	n_spp_eval	n_spp_BO	n_nofx	n_NLAA	n_conc	n_jeop	n_rpa	n_admo	n_tech	staff_lead_hash	staff_support_hash
01EIFW00-2012-I-0430-R001	1	ID	IDAHO FISH AND WILDLIFE OFFICE	IFWO-Golden Meadows Exploration Project Plan of Operations	Forest Service	2012	2015	2016	2015-07-20	NA	2015-11-17	2015-11-05	108	2015-11-05	Yes	No	No	No	Informal Consultation	Standard	Mining - Subsurface Pre-recovery Exploration - Non Energy Minerals / Materials	mining	No ARRA funding	NAD83	44.9264	-115.3214	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bull Trout (Salvelinus confluentus); Canada Lynx (Lynx canadensis)	 	2	0	0	0	NA	0	0	0	0	a0e930e67e9bea3105f8b67fac0f982b	None
01EIFW00-2013-F-0333-R001	1	ID	IDAHO FISH AND WILDLIFE OFFICE	IFWO Golden Hand Mine	Forest Service	2013	2015	2015	2015-04-20	NA	2015-09-02	2015-07-01	NA	2015-07-01	Yes	No	No	Yes	Formal Consultation	Standard	Mining - Surface Pre-recovery Exploration - Non Energy Minerals / Materials	mining	No ARRA funding	WGS84	45.2183	-115.3177	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bull Trout (Salvelinus confluentus); Canada Lynx (Lynx canadensis); North American wolverine (Gulo gulo luscus)	Bull Trout (Salvelinus confluentus): BO = Non-jeopardy; CH = No Adverse Modification| Canada Lynx (Lynx canadensis): BO = Not Required - See Event Description; CH = NA| North American wolverine (Gulo gulo luscus): BO = Not Required - See Event Description; CH = NA	3	3	0	0	NA	0	0	0	2	a0e930e67e9bea3105f8b67fac0f982b	None
01EIFW00-2014-F-0233	1	ID	IDAHO FISH AND WILDLIFE OFFICE	IFWO Idaho Water Quality Standards for Toxic Pollutants	Environmental Protection Agency	2014	2014	2015	2013-11-25	2013-11-25	2015-07-02	2015-06-26	578	2015-06-26	Yes	No	No	Yes	Formal Consultation	Standard	** OTHER **	** other **	No ARRA funding	WGS84	43.6187	-116.2146	NA	NA	NA	NA	NA	NA	NA	NA	NA	Banbury Springs limpet (Lanx sp.); Bliss Rapids snail (Taylorconcha serpenticola); Bruneau Hot springsnail (Pyrgulopsis bruneauensis); Bull Trout (Salvelinus confluentus); Canada Lynx (Lynx canadensis); Grizzly bear (Ursus arctos horribilis); MacFarlane's four-o'clock (Mirabilis macfarlanei); Northern Idaho Ground Squirrel (Urocitellus brunneus); Slickspot peppergrass (Lepidium papilliferum); Snake River physa snail (Physa natricina); Spalding's Catchfly (Silene spaldingii); Ute ladies'-tresses (Spiranthes diluvialis); Water howellia (Howellia aquatilis); White sturgeon (Acipenser transmontanus); Woodland caribou (Rangifer tarandus caribou)	Banbury Springs limpet (Lanx sp.): BO = Jeopardy with RPA; CH = NA| Bliss Rapids snail (Taylorconcha serpenticola): BO = Jeopardy with RPA; CH = NA| Bruneau Hot springsnail (Pyrgulopsis bruneauensis): BO = Jeopardy with RPA; CH = NA| Bull Trout (Salvelinus confluentus): BO = Jeopardy with RPA; CH = Adverse Modification| Canada Lynx (Lynx canadensis): BO = NLAA - Concurrence Provided; CH = NA| Grizzly bear (Ursus arctos horribilis): BO = NLAA - Concurrence Provided; CH = NA| MacFarlane's four-o'clock (Mirabilis macfarlanei): BO = NLAA - Concurrence Provided; CH = NA| Northern Idaho Ground Squirrel (Urocitellus brunneus): BO = NLAA - Concurrence Provided; CH = NA| Slickspot peppergrass (Lepidium papilliferum): BO = NLAA - Concurrence Provided; CH = NA| Snake River physa snail (Physa natricina): BO = Jeopardy with RPA; CH = NA| Spalding's Catchfly (Silene spaldingii): BO = NLAA - Concurrence Provided; CH = NA| Ute ladies'-tresses (Spiranthes diluvialis): BO = NLAA - Concurrence Provided; CH = NA| Water howellia (Howellia aquatilis): BO = NLAA - Concurrence Provided; CH = NA| White sturgeon (Acipenser transmontanus): BO = Jeopardy with RPA; CH = Adverse Modification| Woodland caribou (Rangifer tarandus caribou): BO = NLAA - Concurrence Provided; CH = NA	15	15	0	9	NA	6	6	2	0	734ee70f48d60c22e8c5a5598c53cf5c	178a3be7af188683f76b9d52b3f3b51f; 19b0cac62e7b55ed3c8da322d9e1697b; 2d7a0d6ca6c9d23f1cb7e681ff9a9587
01EIFW00-2015-F-0111	1	ID	IDAHO FISH AND WILDLIFE OFFICE	Minidoka Dam Spillway Replacement Change in Operations	Bureau of Reclamation	2015	2015	2015	2014-11-12	2014-11-12	2015-05-08	2015-05-08	177	2015-05-08	Yes	No	No	Yes	Formal Consultation	Standard	Dam - Maintenance / Modification / Replacement / Upgrade - Federal	dam	No ARRA funding	NAD83	42.664341	-113.487648	NA	NA	NA	NA	NA	NA	NA	NA	NA	Snake River physa snail (Physa natricina)	 	1	0	0	0	NA	0	0	0	0	976b1a318abf7867981a11e3a5ca29e3	19b0cac62e7b55ed3c8da322d9e1697b; b38a49a459851196858e3777370dffcf; af54666012eb70d5300cdd7dc3049f44; 2d7a0d6ca6c9d23f1cb7e681ff9a9587; 5a7395c8c1112563da93866301daf17f; 186d149d82ef4214508806d9ff083f90
01EIFW00-2015-F-0381	1	ID	IDAHO FISH AND WILDLIFE OFFICE	Bayha Island Research Project - Thermistor and Water Level Logger Installation	Fish and Wildlife Service	2015	NA	NA	2015-03-30	NA	2015-08-12	2015-05-15	NA	2015-05-15	NA	NA	NA	NA	NA	NA	NA	NA	No ARRA funding	WGS84	43.369791	-116.62628	NA	NA	NA	NA	NA	NA	NA	NA	NA	Physa natricina (Snake River physa snail)	 	1	0	0	0	NA	0	0	0	0	80220a7ed31d478b3ff90bb0d3d246c0	2d7a0d6ca6c9d23f1cb7e681ff9a9587; 976b1a318abf7867981a11e3a5ca29e3
01EIFW00-2015-F-0382	1	ID	IDAHO FISH AND WILDLIFE OFFICE	IFWO Little Salmon River Bridge Replacement Project, Highway 95	Federal Highway Administration	2015	2015	2015	2015-03-30	2015-03-30	2015-08-12	2015-08-05	128	2015-08-05	Yes	No	No	Yes	Formal Consultation	Standard	Bridge - Maintenance / Modification / Replacement / Upgrade - Federal	bridge	No ARRA funding	NAD83	45.1729	-116.3001	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bull Trout (Salvelinus confluentus)	 	1	0	0	0	NA	0	0	0	0	a0e930e67e9bea3105f8b67fac0f982b	None
01EIFW00-2015-F-0387	1	ID	IDAHO FISH AND WILDLIFE OFFICE	NIFO- Crooked River Valley Rehabilitation Project_USACE permit	Army Corps of Engineers	2015	2015	2015	2015-03-23	2015-03-23	2015-08-05	2015-04-13	21	2015-04-13	Yes	No	No	Yes	Formal Consultation	Standard	Stream Restoration / Enhancement	stream restoration / enhancement	No ARRA funding	WGS84	45.825416	-115.528165	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bull Trout (Salvelinus confluentus)	 	1	0	0	0	NA	0	0	0	0	3c5f4f425954bde26f95acfb65d3aff6	413998b0a50950c9fff6054142669db4
01EIFW00-2015-F-0435	1	ID	IDAHO FISH AND WILDLIFE OFFICE	NIFO-Hellroaring Project	Forest Service	2015	2015	2015	2015-03-09	2015-03-09	2015-07-22	2015-04-30	52	2015-04-30	Yes	No	No	Yes	Formal Consultation	Standard	Forestry - Timber Sale	forestry	No ARRA funding	WGS84	48.891381	-116.199075	NA	NA	NA	NA	NA	NA	NA	NA	NA	Canada Lynx (Lynx canadensis); Grizzly bear (Ursus arctos horribilis)	 	2	0	0	0	NA	0	0	0	0	3c5f4f425954bde26f95acfb65d3aff6	None
01EIFW00-2015-F-0454	1	ID	IDAHO FISH AND WILDLIFE OFFICE	NIFO - Upper Grouse Creek Large Wood Replenishment Project	Fish and Wildlife Service	2015	2015	2015	2015-04-14	2015-04-27	2015-09-09	2015-06-01	35	2015-06-01	Yes	No	No	Yes	Formal Consultation	Standard	Stream / Waterbody - Modification - Restoration / Enhancement	stream / waterbody	No ARRA funding	WGS84	48.455323	-116.289669	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bull Trout (Salvelinus confluentus); Grizzly bear (Ursus arctos horribilis)	 	2	0	0	0	NA	0	0	0	0	153f483b8a35dc70c622476a91806693	3c5f4f425954bde26f95acfb65d3aff6
01EIFW00-2015-F-0457	1	ID	IDAHO FISH AND WILDLIFE OFFICE	Upper Malad Turbine Replacement	Federal Energy Regulatory Commission	2015	2015	2016	2015-08-24	2015-08-24	2016-01-06	2015-12-21	119	2015-12-21	Yes	No	Yes	Yes	Formal Consultation	Standard	Power Generation - Hydropower - Other - FERC	power generation	No ARRA funding	NAD83	42.864528	-114.884938	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bliss Rapids snail (Taylorconcha serpenticola)	Bliss Rapids snail (Taylorconcha serpenticola): BO = Non-jeopardy; CH = Not Yet Determined	1	1	0	0	NA	0	0	0	0	976b1a318abf7867981a11e3a5ca29e3	19b0cac62e7b55ed3c8da322d9e1697b; 04ed4484db34b0a1e52771c33897bd26; af54666012eb70d5300cdd7dc3049f44; 5a7395c8c1112563da93866301daf17f; 976b1a318abf7867981a11e3a5ca29e3
